pos,neg,neu,compound
0.094,0.294,0.613,-0.7351
0.084,0.179,0.737,-0.5574
0.0,0.0,1.0,0.0
0.0,0.224,0.776,-0.8599
0.091,0.17,0.739,-0.4215
0.172,0.0,0.828,0.4404
0.0,0.424,0.576,-0.9403
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.174,0.826,-0.4939
0.124,0.053,0.824,0.3818
0.107,0.245,0.648,-0.7096
0.0,0.119,0.881,-0.5423
0.034,0.149,0.818,-0.775
0.095,0.222,0.683,-0.814
0.083,0.18,0.736,-0.6382
0.049,0.291,0.66,-0.9321
0.0,0.432,0.568,-0.5859
0.0,0.265,0.735,-0.5574
0.0,0.363,0.637,-0.6115
0.241,0.0,0.759,0.431
0.11,0.194,0.696,-0.6808
0.0,0.0,1.0,0.0
0.382,0.094,0.524,0.8271
0.0,0.292,0.708,-0.5106
0.0,0.205,0.795,-0.802
0.109,0.286,0.605,-0.7391
0.197,0.0,0.803,0.4019
0.0,0.474,0.526,-0.5574
0.202,0.049,0.749,0.6908
0.192,0.0,0.808,0.2263
0.094,0.199,0.707,-0.5067
0.167,0.135,0.698,0.1672
0.147,0.396,0.457,-0.7096
0.0,0.363,0.637,-0.6771
0.0,0.201,0.799,-0.7003
0.427,0.0,0.573,0.7717
0.178,0.409,0.413,-0.9317
0.085,0.0,0.915,0.0772
0.184,0.153,0.662,0.2235
0.0,0.245,0.755,-0.7783
0.0,0.139,0.861,-0.2732
0.254,0.0,0.746,0.5267
0.0,0.193,0.807,-0.91
0.24,0.13,0.63,0.4877
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.075,0.925,-0.296
0.123,0.18,0.696,-0.4215
0.0,0.531,0.469,-0.9517
0.0,0.474,0.526,-0.4019
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.48,0.52,-0.5709
0.47,0.202,0.328,0.5994
0.217,0.189,0.594,0.2023
0.219,0.208,0.573,0.0534
0.078,0.391,0.531,-0.8402
0.0,0.13,0.87,-0.743
0.148,0.27,0.582,-0.5383
0.0,0.205,0.795,-0.5994
0.142,0.0,0.858,0.5106
0.054,0.154,0.793,-0.2846
0.0,0.183,0.817,-0.4005
0.153,0.0,0.847,0.4019
0.0,0.07,0.93,-0.4019
0.194,0.111,0.694,0.34
0.415,0.202,0.383,0.4404
0.232,0.26,0.508,-0.1945
0.25,0.194,0.556,0.0516
0.149,0.096,0.755,0.6272
0.144,0.105,0.751,-0.0258
0.225,0.272,0.503,-0.6197
0.0,0.0,1.0,0.0
0.176,0.083,0.741,0.4585
